,"Consumer Price Index for All Urban Consumers (CPI-U): U.S. city average, by expenditure category, October 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[1982-84=100, unless otherwise noted]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indent Level,Expenditure category,"Relative
importance
Sep.
2024",Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Unadjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Seasonally adjusted indexes,Unadjusted percent change,Unadjusted percent change,Unadjusted percent change,Unadjusted percent change,Seasonally adjusted percent change,Seasonally adjusted percent change,Seasonally adjusted percent change,One Month,One Month,One Month,One Month,Twelve Month,Twelve Month,Twelve Month,Twelve Month
,,,"Oct.
7,"Fresh sweetrolls, coffeecakes, doughnuts(4)(6)",,393.217,393.851,394.640,391.948,384.429,385.004,385.689,385.510,391.962,392.650,393.713,395.757,401.274,393.217,393.851,394.640,391.948,384.429,385.004,385.689,385.510,391.962,392.650,393.713,395.757,401.274,2.0,0.3,0.5,1.4,0.3,0.5,1.4,,1.05,L-Jun. 2024,1.7,,1.92,S-Aug. 2024,0.6
7,"Crackers, bread, and cracker products(6)",,425.742,422.214,425.770,425.593,429.659,429.930,432.471,439.969,440.658,436.557,435.652,436.579,435.806,424.930,430.507,434.225,429.697,430.420,428.593,430.984,435.755,439.217,430.288,431.732,434.105,434.975,2.4,-0.2,0.2,-0.2,0.3,0.5,0.2,,1.06,S-Jul. 2024,-2.0,,1.39,S-Jun. 2021,1.0
7,"Frozen and refrigerated bakery products, pies, tarts, turnovers(6)",,349.687,345.871,342.700,343.408,350.479,346.429,350.296,346.999,349.708,350.229,347.219,342.285,349.949,344.181,345.307,346.834,345.829,352.144,346.768,350.720,346.815,349.069,349.098,347.386,340.863,344.438,0.1,-0.9,-1.4,2.2,-0.5,-1.9,1.0,,1.20,L-Apr. 2024,1.1,,1.47,L-Jul. 2024,1.3
3,"Meats, poultry, fish, and eggs",1.741,322.536,319.860,320.143,319.752,320.096,322.589,322.323,323.414,323.848,327.013,329.108,332.525,328.743,320.716,320.182,321.145,321.230,321.526,324.403,322.226,323.025,323.581,325.796,328.340,331.004,326.927,1.9,0.6,1.0,-1.1,0.8,0.8,-1.2,-0.021,0.26,S-Aug. 2020,-1.3,0.033,0.46,S-Apr. 2024,1.0
4,"Meats, poultry, and fish",1.595,328.213,324.839,323.190,322.344,320.658,323.322,324.061,325.849,326.526,328.560,329.577,330.560,328.411,325.921,324.784,325.004,324.317,323.244,325.204,324.790,325.749,325.499,326.495,327.977,328.495,326.027,0.1,0.3,0.3,-0.7,0.5,0.2,-0.8,-0.012,0.27,S-Aug. 2020,-1.3,0.000,0.44,S-Apr. 2019,0.0
5,Meats,1.037,336.508,331.599,330.049,329.052,328.205,330.732,331.798,333.936,334.440,338.404,339.010,340.716,337.952,332.642,331.584,332.518,332.081,331.786,333.197,332.828,334.361,333.485,335.339,336.549,337.642,334.056,0.4,0.2,0.5,-0.8,0.4,0.3,-1.1,-0.011,0.33,S-Sep. 2020,-1.1,0.004,0.46,S-May 2023,0.4
6,Beef and veal,0.469,418.533,413.210,413.061,411.781,411.667,414.602,417.922,418.976,421.277,428.954,430.328,431.790,426.449,414.616,414.848,417.390,416.197,418.072,419.099,419.537,418.098,418.320,423.453,424.579,427.189,422.456,1.9,0.3,0.3,-1.2,0.3,0.6,-1.1,-0.005,0.45,S-Jun. 2022,-1.1,0.009,0.72,S-May 2023,1.0
7,Uncooked ground beef(4),0.164,360.211,354.917,352.556,348.091,350.107,352.629,353.833,357.438,361.504,366.114,370.221,371.880,370.211,360.211,354.917,352.556,348.091,350.107,352.629,353.833,357.438,361.504,366.114,370.221,371.880,370.211,2.8,1.1,0.4,-0.4,1.1,0.4,-0.4,-0.001,0.50,S-Jan. 2024,-1.3,0.004,0.85,S-Jun. 2023,2.3
7,Uncooked beef roasts(5),0.079,332.957,336.874,329.909,327.589,333.842,335.995,338.324,336.248,344.129,350.669,350.157,349.110,339.197,332.237,338.071,333.941,335.672,338.349,340.062,341.035,332.284,337.775,347.060,344.477,343.501,338.463,1.9,-0.1,-0.3,-2.8,-0.7,-0.3,-1.5,-0.001,1.42,S-May 2024,-2.6,0.002,1.73,S-Jun. 2023,0.6
7,Uncooked beef steaks(5),0.173,283.295,276.134,280.079,281.658,277.495,279.194,282.155,283.049,278.772,286.692,285.496,287.059,283.342,279.802,277.698,283.858,286.453,282.654,282.857,283.681,281.185,273.550,280.768,284.863,283.731,279.849,0.0,-0.4,0.5,-1.3,1.5,-0.4,-1.4,-0.002,0.92,S-Jun. 2024,-2.7,0.000,1.31,S-Mar. 2023,-0.7
